description;biddable;startprice;condition;cellular;carrier;color;storage;sold;UniqueID
Minor cosmetic defects, LCD in working order. THIS DEVICE IS I CLOUD LOCKED AND UNABLE TO BE ;1;20;For parts or not working;Unknown;Unknown;White;Unknown;1;11714
;0;250;Manufacturer refurbished;1;AT&T;Black;32;0;11898
Please read details below.;0;289.79;Used;0;None;White;16;0;12036
;1;189;Used;0;None;Unknown;16;1;12053
;1;0.99;Used;Unknown;Unknown;Unknown;Unknown;1;11102
READiPad is used but in excellent condition. Absolutely nothing wrong with it and it has recently ;1;114.99;Used;0;None;Unknown;16;1;10113
���Grade A condition means that the Ipad is 100% working condition. Cosmetically 8/9 out of 10 - Will ;0;219;Manufacturer refurbished;1;Verizon;Black;16;1;11514
This iPad Air is less than a year old. The 1 yr limited warranty expires July 17. It is in perfect ;0;349;Used;0;None;Unknown;32;0;11549
;0;789;New;1;Unknown;Space Gray;128;0;11176
;1;99.99;Seller refurbished;1;AT&T;Black;16;1;10073
;1;45;Used;0;None;Black;16;1;10566
;1;119.99;Manufacturer refurbished;0;None;Black;16;1;11850
VERY special auction for an open box Space Gray iPad Air 2 16gb Cellular. Device is covered under ;1;10;New other (see details);1;Sprint;Space Gray;16;1;10778
Almost like new, very few scratches.;1;150;Used;0;None;Unknown;16;1;12009
;1;35;For parts or not working;0;None;Black;16;1;12579
Like new;1;1;Used;1;Unknown;Unknown;128;1;11993
;1;99;Used;0;None;Black;64;1;10545
;1;50;Used;1;AT&T;Black;16;1;10169
;0;124.95;Used;0;None;White;16;0;10494
;0;30;For parts or not working;Unknown;Unknown;Unknown;Unknown;0;12583
Please note that this unit is in great condition but is locked under another Apple ID;1;149.99;For parts or not working;Unknown;Unknown;Unknown;Unknown;0;12589
"100% Fully Functional, Clean ESN &amp; iCloud Clear, professionally restored, inspected, &amp; tested. This ";0;127.99;Seller refurbished;1;Verizon;Black;16;0;10665
;0;199;Used;Unknown;Unknown;Unknown;16;0;12175
Used for only two days mint!! W blue cover;1;299.99;New other (see details);0;None;Space Gray;16;1;10227
;1;119.99;For parts or not working;Unknown;Unknown;Unknown;Unknown;0;11602
Great Condition - Cosmetically 8 out of 10 and includes Warranty and FREE Magnetic Smart Cover!;0;199.99;Seller refurbished;0;None;Black;16;1;10902
;1;169.99;Used;0;None;Black;16;0;12241
Excellent condition, not a scratch on it. Very sparingly used.;1;250;Used;0;None;Unknown;16;0;12204
Has been covered with a Zagg InvisibleShield since it came out of the box and kept in a case.  Front ;0;449.99;Used;0;None;Space Gray;64;0;12281
;0;69.99;Used;0;None;Black;16;1;11507
;0;235;Used;0;None;White;16;0;11510
;1;200;Used;0;None;Space Gray;64;1;12111
;1;200;Used;1;Verizon;White;32;1;10268
Used but 90% new looking;1;80;New other (see details);1;Verizon;Unknown;16;1;11942
Listed as used, because it is.Works like new, Looks like new, Excellant screen color, No scratches ;1;55;Used;1;Verizon;Black;64;1;10661
Flawless Condition(10/10) 100% functional with Flawless Retina Display. Unit is free of ;0;376;Used;1;AT&T;Black;64;0;10930
;1;197.97;Used;0;None;Unknown;64;1;12230
powering on but stuck on the itunes logo;1;0.99;For parts or not working;0;None;Unknown;32;1;11635
Showroom Display Item. Small Scratches On Backside.;0;399.94;New other (see details);0;None;Gold;16;0;12345
Minor wear along lower chrome edge. Otherwise flawless. No scratches or marks on glass.;0;400;Used;0;None;Unknown;64;0;11576
Brand New except the box was opened but unused.;1;210;New other (see details);0;None;Space Gray;16;0;10705
;1;250;New other (see details);0;None;White;64;1;10919
;0;339;New;Unknown;Unknown;Space Gray;Unknown;0;10787
;1;99;Used;1;T-Mobile;Space Gray;16;1;10143
;1;25;Used;0;None;Unknown;16;1;10944
;1;55;Used;1;AT&T;Unknown;16;1;12493
Some minor to moderate signs of use ranging from light scratches to heavy wear and tear.;0;389.99;Used;1;T-Mobile;Unknown;64;0;10985
Good overall condition, used very lightly. Some minor signs of wear on back of case, screen in ;0;128;Used;1;AT&T;Unknown;16;1;11536
PROFESSIONALLY REFURBISHED in GOOD CONDITION in ORIGINAL APPLE BOX - COMES WITH 30 DAY WARRANTY !!!;0;249.99;Seller refurbished;0;None;White;16;0;12629
;0;499.99;New;0;None;Space Gray;16;0;11399
Will contain light scratches and other blemishes.;0;169.99;Used;1;Verizon;Unknown;32;0;10739
"The display doesn&#039;t work, will need a new screen, SOLD AS IS, price reflected.  Being that it&#039;s sold ";1;49.99;For parts or not working;0;None;Black;64;1;11680
Be advised the iPad you receive will be in fair condition, including considerable wear and scratches ;0;184.99;Used;1;AT&T;Unknown;64;0;10503
3 of 5. This item is NOT working properly. Please read the entire listing carefully before ;0;99.99;For parts or not working;0;None;Unknown;32;0;12562
;1;75;Used;1;AT&T;White;64;1;10364
;0;319;Used;Unknown;Unknown;White;Unknown;0;11854
;0;399.99;New;0;None;Unknown;16;0;11556
"BROKEN: Device has at least one or more problems:
For Parts or Repair";0;36.95;For parts or not working;0;None;Unknown;16;0;11844
;1;380;New;0;None;White;128;1;10535
;0;279.99;Used;Unknown;Unknown;Space Gray;16;0;10956
;0;9.99;Used;Unknown;Unknown;Unknown;Unknown;0;11449
30 Day Warranty.  Refurbished iPad Mini with signs of normal wear including possible scratching on ;0;409.99;Seller refurbished;Unknown;AT&T;White;Unknown;1;11804
;1;549.99;New;0;None;Gold;64;0;11067
;1;450;New;0;None;Space Gray;64;0;12045
This item was opened by me after purchasing powered on once or twice for display purposes.  Still in ;0;285;New other (see details);0;None;White;16;0;12428
;0;69.99;New;Unknown;Unknown;Unknown;Unknown;0;11451
;0;3.99;New;Unknown;Unknown;Unknown;Unknown;0;11444
;1;0.99;Used;0;None;Space Gray;16;1;11414
;0;150;Used;0;None;Black;16;0;10591
;1;480;New;0;None;White;64;1;12112
Definite must-have. This Apple iPad Mini is pre-owned and has some signs of use, there is a nick/ ;1;199;Used;1;AT&T;Unknown;64;0;11072
No noticeable blemishes, screen in very good shape. Has always been used with case and cover. ;1;100;Used;1;AT&T;Space Gray;128;1;10331
;0;250;Used;0;None;Black;16;0;10862
;1;99;Used;0;None;Space Gray;16;1;12126
;0;280;New;0;None;Black;Unknown;0;11557
;1;350;New;0;None;Space Gray;64;0;10738
This is a B Stock item, meaning the unit is in a good condition.The screen has no visible scratches ;0;269.99;Used;1;Unknown;Black;32;0;11951
;1;50;Used;0;None;Unknown;32;1;10448
;1;1;Manufacturer refurbished;0;None;White;16;1;12265
;0;429.95;Used;1;Sprint;White;16;0;11185
;1;0.99;Used;0;None;Unknown;16;1;10140
Please note that this unit is in working condition, but is locked with another Apple ID;1;299.99;For parts or not working;Unknown;Unknown;Unknown;Unknown;1;11619
New, sealed, box not included;1;0.99;New other (see details);0;None;Unknown;128;1;11115
*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ;0;245.19;Seller refurbished;0;None;Black;16;0;12319
Good Condition. Used. Screen has a glitter size spec on screen. Spec is barely visible when screen ;0;424.99;Used;0;None;White;64;1;11855
;1;80;Used;0;None;Black;16;1;10963
;0;8.99;New;Unknown;Unknown;Unknown;Unknown;0;11445
I would describe this item as excellent with no scratches. Well taken care of. Original owner.;1;100;Used;0;None;White;16;1;10323
Has dents on top two corners.  This listing does not include a charger.;0;279.99;Used;Unknown;Unknown;Black;32;0;12419
;1;70;Used;1;AT&T;Black;16;0;10955
;0;75;Used;0;None;Black;64;1;10350
;1;0.1;New other (see details);0;None;White;32;1;12002
;0;179;Used;1;Unknown;White;32;0;12637
;0;348.6;New;1;AT&T;Space Gray;16;0;11547
;0;205;Used;1;Verizon;Unknown;16;1;11520
;1;20;For parts or not working;0;None;Space Gray;16;1;12570
;1;100;Used;0;None;Unknown;64;1;11990
Perfectly good iPad 64gb 1st Generation. Works great, no cracks just a few scratches on the back. ;1;75;Seller refurbished;0;None;Unknown;64;0;10581
;1;50;Used;1;AT&T;Black;16;1;11991
Ipad has been previously used and shows some light signs of use.  Some light scratches on front ;0;185;Used;0;None;Unknown;64;1;10048
Ipad is used, in very good cosmetic condition. Has some very minor scratches on the body from normal ;0;249.99;Used;0;None;Unknown;16;0;10028
;0;250;Used;Unknown;Unknown;White;16;0;12545
Small cosmetic scratches and or dings nothing major;1;75;Used;Unknown;Unknown;Unknown;Unknown;1;12200
"Good working and fully functional 16GB iPad Air Wifi &amp; cellular. Please read full discription";1;199;Used;1;AT&T;Space Gray;16;1;10755
;0;160;Used;0;None;Black;16;1;11025
*** Like new, Apple iPad Air 2 Gold 128GB. Comes with AC adapter and lightning cable.;0;619.99;Seller refurbished;0;None;Space Gray;128;0;11183
;1;174.99;Seller refurbished;0;None;Black;16;0;12274
;1;29.99;Used;1;Verizon;Black;32;1;10391
;0;680;New;1;Unknown;Gold;64;0;12390
Overall Good Condition with regular wear, dings in corners and some minor scratches on the screen.;0;159.95;Used;1;Unknown;Black;32;0;10071
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ";0;155;Used;1;Verizon;White;64;0;10596
;1;129;Used;0;None;White;64;1;10780
;0;229;For parts or not working;Unknown;Unknown;Unknown;16;1;11605
"This item is Used &amp; in Fair cosmetic condition - 100% Fully Functional, iCloud clear, professionally ";0;149.99;Used;0;None;White;32;0;11303
"Used Apple Ipad 64 gig 1st generation in Great working condition and 100% functional SIM card AT&amp;T ";0;110;Seller refurbished;0;None;Black;32;0;10471
;0;438;New;0;None;White;32;0;10682
This is my personal iPad and it is in excellent used condition. This iPad has been in a top quality ;1;79;Used;0;None;Unknown;16;1;10677
;0;300;Used;0;None;White;16;1;11354
A device listed in good condition with a few minor mark and/or scratches on the housing or display ;0;154;Used;1;Verizon;White;32;0;10928
One owner very clean.;0;199;Used;0;None;White;16;0;11320
"The screen is broken but can be easily fixed. The isn&#039;t shattered rather just cracked and very ";1;80;Used;0;None;Unknown;16;1;10345
;0;400;New;1;Sprint;Unknown;128;0;10746
This TAB is in good condition with minor scratches on the housing or screen (does not affect ;0;299;Used;1;Unknown;White;64;0;10188
lost original box and charger but comes with USB and case;1;150;New other (see details);0;None;Unknown;16;1;12029
This iPad is in excellent like new condition and functions properly.;0;339;Used;0;None;Unknown;16;0;11041
;1;99.99;For parts or not working;1;Unknown;Unknown;16;1;11757
;1;0.99;For parts or not working;1;Verizon;Space Gray;16;1;12569
;1;375;New;Unknown;Unknown;White;64;1;10961
;1;95;Used;0;None;Unknown;64;0;10564
;1;200;Used;0;None;Black;16;0;10922
;1;395;Manufacturer refurbished;0;None;Space Gray;64;0;10619
;1;279.99;Used;0;None;White;16;0;12280
;0;329.99;Used;1;AT&T;Unknown;32;0;10084
;0;209;Used;1;AT&T;Unknown;16;0;10747
;0;99;Used;0;None;Black;16;0;12307
;0;165;Seller refurbished;0;None;Black;16;0;12128
;1;45;For parts or not working;0;None;Unknown;16;1;11766
;1;99;Used;0;None;Space Gray;16;1;12264
;1;75;Used;0;None;Black;16;1;10372
;0;175;Used;0;None;White;16;0;11928
;1;75;Used;1;Unknown;Black;16;1;10853
;1;499.99;New;0;None;Gold;16;0;11489
Pin locked, home button does not work.;0;129.95;For parts or not working;0;None;Black;16;0;11673
This iPad has damage on the bottom corners but it is fully operational and functions as intended. ;0;229.98;Used;0;None;White;16;0;10629
;1;50;Used;0;None;Black;16;1;11913
;1;245;Used;0;None;Space Gray;16;1;11017
In Great Condition with normal light scratches/usage;0;349.95;Used;1;AT&T;Unknown;16;0;10655
;0;199.99;Seller refurbished;Unknown;Unknown;Unknown;Unknown;0;12402
Used. Absolute must-have. Some signs of use. See photos. Comes from a smoke free and pet free home. ;1;187;Used;0;None;Unknown;32;1;10388
"Lot of 10 mixed iPad minis. Colors,models &amp; storage capacity vary between each lot. There may be ";0;999.99;For parts or not working;Unknown;Unknown;White;Unknown;0;12625
;1;30;For parts or not working;0;None;Unknown;16;1;11630
Works great, just has a hairline crack;1;74.99;For parts or not working;0;None;Black;16;1;11669
The Apple iPad is in great condition.;0;499.99;Used;0;None;Gold;64;1;11225
THE FRONT GLASS IS CRACKED. Power/Unlock button does not work;0;65;For parts or not working;0;None;Unknown;16;0;12580
Like new;1;0.01;Used;0;None;Unknown;32;1;12308
I AM SELLING THIS UNIT AS IS-NO REFUNDS, RETURNS OR GUARANTEES-IT HAS A BLOCKED/BAD IMEI.;0;289.95;Used;1;T-Mobile;Black;16;0;11135
;0;289;Used;0;None;White;16;0;11480
;1;89;For parts or not working;0;None;White;64;1;12587
Screen is perfect with a few minor scratches on the back (see photos);1;0.01;Used;0;None;Unknown;16;1;10542
"Please read details below. Good working condition.  Home button doesn&#039;t feel right (it&#039;s &#034;softer&#034; ";0;145.49;Used;0;None;Unknown;16;0;11872
;1;1;For parts or not working;1;AT&T;Unknown;32;1;11657
The Screen is cracked and it needs to be reset.;1;65;For parts or not working;Unknown;Unknown;Black;Unknown;0;11748
This item is in full working condition with all necessary charging components. Components may be ;0;190.45;Used;1;AT&T;Unknown;32;0;11081
Work fineiCloud lock;1;0.99;For parts or not working;0;None;White;16;1;11603
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ";0;204;Used;0;None;White;64;0;12441
Brand new Ipad Mini, still in plastic wrap and box provided by hospital with cords and new unopened ;0;460;New other (see details);0;None;Space Gray;64;0;11014
;0;185;Used;0;None;Unknown;16;0;12142
Working. Tested wifi, sound, charge port, buttons. Scratched case. Light scratches on lcd. No ;0;200;Used;1;Verizon;Space Gray;16;0;10506
iPad was used for 9 month it have normal wear and tear,Please look at all the pictures make sure you ;0;198;Used;0;None;Unknown;16;0;11124
;0;237;New;0;None;White;16;1;11500
;1;0.99;For parts or not working;0;None;Unknown;16;1;11625
;1;175;Used;1;AT&T;Space Gray;32;1;10006
;0;335;New;0;None;Unknown;16;0;10267
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ";0;393;Used;1;Verizon;White;64;0;11242
Very good condition;1;50;Used;1;AT&T;Black;32;1;12147
Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or ;1;49.99;Used;1;AT&T;Black;32;1;11809
;0;299;Used;0;None;Gold;16;0;11515
;0;280;Used;1;Unknown;Black;16;0;10414
;1;99.99;Used;0;None;Black;16;1;11927
;1;215;Seller refurbished;1;AT&T;Black;16;0;11472
;0;350;New;Unknown;Unknown;White;16;0;11592
;1;225;Seller refurbished;1;Verizon;White;32;0;12075
;0;150;Used;0;None;Unknown;16;1;10131
WORK PERFECT SOME DINGS PLEASE REFER TO ALL PICTURES....;1;100;Used;0;None;Black;64;1;10740
;1;289;Used;0;None;Space Gray;128;1;11881
;1;14.99;For parts or not working;1;Unknown;Black;64;1;11634
;1;249;Used;0;None;Unknown;16;0;12257
;1;0.99;Used;0;None;Unknown;16;1;10255
NO RESERVE - Works great, factory reset, has an extremely light and thin surface scratch on the ;1;99.97;Used;1;AT&T;Space Gray;32;1;10736
;0;249.97;Manufacturer refurbished;0;None;Black;16;0;10433
;1;25;Seller refurbished;Unknown;Unknown;Unknown;Unknown;1;10211
;1;50;Used;Unknown;Unknown;Space Gray;Unknown;1;11369
"This is an iPad Air first generation (gray color). It&#039;s a used iPad (just like new) as shown in the ";0;290;Used;0;None;Unknown;16;0;12106
iPad is in good working condition. Includes power adapter and Lightning USB charging cable. iPad has ;1;249.98;Used;1;AT&T;Space Gray;32;1;10467
Good Condition. Fully Functional.;1;0.99;Used;0;None;White;16;1;10753
Minor wear and tear. Device is fully operational and in working order. No major scratches on screen ;1;0.01;Used;0;None;White;16;1;12084
;1;1;New;1;Sprint;Gold;64;1;10698
;0;100;Used;0;None;Black;16;0;12243
;0;425;Used;1;AT&T;Unknown;32;0;11229
;0;85;For parts or not working;0;None;Unknown;16;0;12626
USED BUT EXCELLENT CONDITION;0;210;Used;0;None;White;64;1;10515
;1;99.99;For parts or not working;Unknown;Unknown;Unknown;Unknown;0;11699
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ";0;195;Used;0;None;White;64;0;10522
A device listed in good condition with a few minor mark and/or scratches on the housing or display ;0;80;Used;0;None;White;16;0;10609
;1;0.99;Used;0;None;Unknown;32;1;11462
;0;395;New;Unknown;Unknown;Space Gray;Unknown;0;11383
;0;589.99;New;1;Sprint;Space Gray;64;0;11003
;0;69.99;Used;0;None;Black;16;0;10054
;1;130;Used;1;Verizon;White;32;1;10418
CONDITION: Brand New condition in replacement box. Does NOT include original box. Tablet comes ;0;379;New other (see details);0;None;Space Gray;16;0;12159
;1;70;Used;0;None;Black;32;1;12020
;0;269.99;New;0;None;Black;16;0;10058
Pre-owned but in perfect working order, no scratches or chips.;1;200;Used;1;AT&T;White;16;1;10652
;1;255;Seller refurbished;1;Unknown;Black;16;0;10112
In very good conditionHas speigen tempered glass preinstalled and a speigen case. It comes with ;0;430;Used;0;None;Unknown;128;0;11145
;0;279.5;Used;Unknown;Unknown;Black;32;0;11396
IMEI REVIEWED ON SWAPPA.COM.  WEBSITE SHOWS IT IS CLEAR, BUT STILL NOT SURE OF IMEI STATUS.  BUY AT ;0;124.99;Used;1;Unknown;Black;32;0;11803
This item is used and in acceptable condition. Moderate scratches around the side and back, dented ;0;189.99;Used;1;AT&T;Unknown;16;0;12101
;1;185;New;0;None;White;16;1;10864
;1;0.99;Used;0;None;Black;16;1;10958
Please see pics and description for condition.;1;0.99;Used;1;AT&T;Unknown;16;1;12146
;0;95;Used;0;None;Unknown;32;0;10382
An item that has been restored to working order by the eBay seller or a third party not approved by ;0;340;Seller refurbished;1;AT&T;White;32;0;11160
"I USED 1 WEEK . I GOT GIFT NEW IPAD BECAUSE I DON&#039;T NEED 2 IPADS.";0;50;Used;0;None;Black;Unknown;0;12184
;1;10;Used;1;Unknown;Unknown;16;1;10720
Only used twice to download pictures.;1;0.99;Used;Unknown;Unknown;Unknown;Unknown;1;12406
Pristine condition, comes with a case and stylus.;1;20;Used;0;None;Unknown;64;0;10283
Perfect working condition, kept in Otterbox Defender case since day 1. Please see photos for ;0;290;Used;1;Verizon;Space Gray;64;0;11429
;1;99.99;Used;0;None;Black;16;1;10408
;0;679.99;New;0;None;Unknown;128;0;11224
Like new. Has a screen protector and has been in the otter box case since I have received it.;0;175;Used;0;None;Unknown;32;0;12341
;1;50;Used;1;AT&T;Black;64;1;10484
VERY GOOD CONDITION. VERY LITTLE TO NO SCRATCHES. PROTECTIVE CASE HAS A LITTLE WEAR ON CORNERS (SEE ;1;229.95;Used;Unknown;Unknown;Unknown;Unknown;0;11311
;1;0.01;Used;Unknown;Unknown;Unknown;Unknown;1;10285
;0;175;Seller refurbished;0;None;Black;16;0;10819
*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ;0;199.69;Seller refurbished;0;None;White;16;0;11921
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ;0;169.98;Seller refurbished;1;AT&T;Black;64;0;10088
6 months old.;1;50;New other (see details);0;None;White;16;1;10814
;0;590;New;0;None;Gold;64;0;12313
;1;150;New other (see details);0;None;White;16;1;12081
;0;599.99;New;1;Unknown;White;128;0;11336
;1;150;Used;0;None;Unknown;64;1;10578
This iPad is set back to factory settings with NO ICLOUD! Ready for anyone to set up! Comes in ;1;319.99;Used;0;None;White;16;1;10827
Overall very good condition, minor scratches on the front and back.;0;549.95;Used;1;Unknown;Space Gray;64;0;11136
;1;349.99;New;0;None;White;16;1;11791
;1;50;For parts or not working;0;None;White;16;1;11607
;1;299;Used;0;None;White;32;1;10439
;0;279;New;Unknown;Unknown;Unknown;Unknown;0;11853
;0;325;New;0;None;White;16;0;10308
;0;329;New other (see details);0;None;Gold;16;0;12349
;0;230;Used;0;None;Unknown;16;0;11553
;0;349.99;Used;0;None;Black;64;0;11276
Please Read. No Returns.;0;69.95;For parts or not working;0;None;Unknown;16;0;11614
;1;100;Used;1;AT&T;Black;16;1;11477
Used in Excellent Condition. Included AC Power Adapter, USB Cable No Original Box.;0;299.95;Used;Unknown;Unknown;White;64;0;11147
;1;1;Used;1;AT&T;Unknown;16;1;12062
This iPad 2 is iCloud locked I repeat it is iCloud locked if you can get the iCloud lock off of it ;1;60;Seller refurbished;0;None;White;16;1;10151
;1;80;Used;1;AT&T;Black;16;1;10716
;0;239;Manufacturer refurbished;1;AT&T;Unknown;32;0;12534
;1;1;Used;1;Verizon;Unknown;16;1;12026
Unable to accept new apple updates but still connects to wifi networks;1;70;Used;Unknown;Unknown;Unknown;Unknown;1;11296
MINT CONDITION;0;374.99;Used;1;Verizon;Space Gray;32;0;12110
In good shape. See photos.;1;0.98;Used;1;Verizon;Unknown;32;1;12010
��ω��Customer or Carrier Return. Cosmetic condition is 9.5 of 10.�۝ NOT IN ORIGINAL BOX�۝;0;309.99;New other (see details);0;None;White;32;0;10029
;0;63;For parts or not working;Unknown;Unknown;Unknown;64;0;12578
This device is NEW, and its in Perfect shape, no scratch, dings, or broken screens. Grade A device.;0;280;New other (see details);0;None;White;16;0;11090
Opened box, no cosmetic damages, functional, includes accessories in retail package. Please contact ;1;0.99;Used;Unknown;Unknown;Unknown;Unknown;1;11142
very good used condition, well taken care of!;1;290;Used;0;None;Unknown;16;0;12028
;0;150;For parts or not working;0;None;Unknown;16;0;11604
;1;150;Used;0;None;Unknown;16;1;10411
Brand new condition, iPad has been rarely used. Includes red ipad smart case. Includes original box.;0;300;Used;Unknown;Unknown;Unknown;Unknown;0;12433
APPLE iPAD AIR 32GB WHITE MD789LL/B WHITE. This item is Previously Lightly Used, in Good Condition. ;1;0.99;Used;Unknown;Unknown;Unknown;Unknown;1;11361
;1;40;Used;Unknown;Unknown;White;Unknown;1;10341
;1;150;Used;0;None;White;32;1;10727
;0;315;Used;0;None;White;16;0;12389
;0;559.99;New;0;None;Gold;128;0;10742
;1;92.49;Used;0;None;Unknown;16;1;10516
Item has been professionally tested and inspected. Tests show that all features work correctly. This ;0;150.99;Used;0;None;Black;32;0;12377
;0;177.99;Used;Unknown;Unknown;Unknown;Unknown;0;12440
;1;0.01;Seller refurbished;0;None;Unknown;16;1;10091
This item is used but in very good condition. It will have some very minor signs of use such as ;0;419.99;Used;Unknown;Unknown;Unknown;Unknown;1;11817
;0;179.95;Used;1;Verizon;Black;64;0;11002
;1;120;Used;0;None;White;16;0;10413
;1;0.99;For parts or not working;0;None;Unknown;32;1;12605
;1;90;New other (see details);0;None;Unknown;16;1;12305
No defects.  Comes in a portfolio case which has protected device.  Has minimal scratches on edges;0;175;Used;Unknown;Unknown;Black;32;1;11158
In great shape. All settings and memory reset to start up new.;0;280;Used;0;None;Unknown;16;0;12350
In good working condition with scratches from normal use;0;189.99;Used;0;None;Black;16;0;12158
Customer Returned ITem - 2 Corners dented - Small Scuffs;0;159.95;Seller refurbished;Unknown;Unknown;Unknown;Unknown;0;10718
;1;99;New;0;None;Gold;16;1;12413
gently used. like new;0;265;Used;0;None;Unknown;16;0;12165
;1;199;Used;0;None;Unknown;32;1;12162
;0;510;Used;0;None;Space Gray;64;0;10983
;1;650;New;1;Unknown;Gold;128;1;11300
;1;179.99;Used;0;None;Unknown;16;0;10917
;0;125;For parts or not working;0;None;Black;16;0;12604
;0;98;Used;0;None;Black;32;0;12235
;0;700;New other (see details);0;None;White;64;0;11423
;0;180;Used;0;None;White;16;0;12531
;1;200;Used;0;None;Unknown;16;1;12182
iPad restarts every 3,4 seconds. We are unable to reset it. Item is in very good cosmetic. iPAD ;1;0.01;For parts or not working;0;None;Black;32;1;12597
2 months old in perfect condition. Still under apple warranty. Black Apple Smart Case included.;0;500;Used;0;None;Space Gray;64;1;10436
;0;220;Used;Unknown;Unknown;Unknown;Unknown;0;11447
Minor signs of use on screen and back.  Nothing that affects function.;1;0.99;Used;1;AT&T;Black;64;1;10712
;1;59.95;Used;0;None;White;16;1;10262
iPAD ONLY.EXCELLENT USED CONDITION.VERY LIGHT WEAR AND TEAR ONLY.;1;0.99;Used;1;T-Mobile;Black;16;1;11096
Previously used, please read description. May show signs of use such as scratches to the screen and ;1;0.99;Used;1;Verizon;Unknown;16;1;10064
;0;710;Used;1;Unknown;Gold;128;0;11552
;1;249.97;Manufacturer refurbished;1;Unknown;Black;64;0;12253
;1;25;Used;0;None;Black;16;1;10309
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ";0;224;Used;1;AT&T;White;32;0;11177
;1;160;Used;0;None;White;16;1;10061
;0;225;Used;1;Verizon;Black;16;0;10133
;1;99.99;Used;0;None;Black;64;1;12125
This iPad is working and is tested 100%. It runs great. It is in good condition. Cracked digitizer.;0;219.99;Used;0;None;Unknown;64;0;11864
No marks or blemishes;1;0.01;Used;0;None;Unknown;16;1;10543
;1;150;Used;0;None;White;32;1;10010
;0;329.99;New;0;None;Unknown;16;0;11843
;0;175;Used;1;AT&T;Unknown;32;0;11527
screen cracked. name engraving in the back (blacked out);1;100;Used;0;None;Unknown;16;1;10858
Great shape very minimal scratches. Comes with a BEETLE defense case. Does not come with cord or ;1;150;Used;0;None;Unknown;16;0;10529
;1;100;New;0;None;White;16;1;11055
;1;0.99;Used;0;None;Unknown;64;1;10480
"Heavily Used condition. 100% Fully Functional, Clean IMEI &amp; iCloud, professionally restored, ";0;270.99;Used;1;AT&T;Space Gray;16;0;11143
Excellent condition.;1;99;Used;1;Unknown;Space Gray;64;1;10965
Like New!!!;0;105;Used;0;None;Unknown;32;0;11537
This phone is in good condition with minor scratches on the housing or screen (does not affect ;0;99;Used;1;AT&T;White;32;0;11076
Good to very good condition. Restored to factory settings.;1;99.99;Used;0;None;White;16;1;10196
;0;379.95;New;0;None;Space Gray;16;0;10995
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ;0;299.98;Seller refurbished;0;None;Unknown;32;0;10033
The body has some scratches and there are some dings by the charging port and one on the top left ;0;209.99;Used;0;None;Unknown;32;0;10733
;1;29.99;Used;1;Other;Black;16;1;12055
;1;550;Used;0;None;Gold;128;1;10792
;1;450;Used;0;None;Space Gray;128;0;11409
These items may have a few scratches and dents due to it being previously used. The item may have ;1;99.98;Seller refurbished;0;None;White;32;1;12649
;1;180;Used;0;None;White;16;0;10973
Good;1;0.99;Used;0;None;Unknown;64;1;11100
"Used, but in great condition! Perfect screen and in 100&amp;#37; working condition! One major chip/crack ";0;289.99;Used;1;Verizon;White;32;0;11022
;0;120.02;Used;0;None;Unknown;64;0;11114
Used;1;99.99;Used;0;None;Gold;16;1;11066
Item is in excellent condition. It does not have any visible cosmetic wear. See pictures for ;1;249.99;Used;Unknown;Unknown;Unknown;Unknown;0;12316
;0;439.98;New;0;None;White;16;0;11206
;0;389;New other (see details);1;T-Mobile;White;16;0;12323
;1;0.99;New;0;None;White;16;1;10640
Item is used and in like new condition. Item comes in original packaging.;0;70.99;Used;Unknown;Unknown;Unknown;Unknown;0;11457
"&#034;&#034;Buy in Confidence I&#039;m serious person&#034;&#034; like New,sell because not used come with Original Box and ";0;375;Used;0;None;Unknown;32;0;12326
;0;15;Used;0;None;Black;16;0;11204
EXCELLENT;1;99;Used;Unknown;Unknown;Unknown;Unknown;1;10997
This is a Seller refurbished item and will show signs of cosmetic use. The unit will be 100% working ;1;0.99;Seller refurbished;0;None;White;64;1;10579
;1;0.99;Used;1;Verizon;Black;64;1;10761
;1;300;New;0;None;Gold;16;0;11216
Very Good Condition. Flawless screen, only blemish is a small scratch in the bottom right-hand ;1;199.99;Used;0;None;White;16;1;11901
;0;300;Used;0;None;Unknown;32;0;10954
mint condition;1;250;Used;0;None;White;16;1;11878
;0;15;Used;0;None;Black;16;0;10385
Water damage, broken. See full description for details;0;80;For parts or not working;Unknown;Unknown;Unknown;Unknown;1;11725
Glass is Lifting from Bezel, has nicks and scratches but this is Still 100% Fully Functional, Clean ;0;160;Used;1;AT&T;Unknown;16;0;12024
;0;573.74;New;0;None;Unknown;64;0;11376
;0;180;Used;0;None;White;16;0;11153
